branch,commit_hash,author,email,date,message
"main","efe48eb8e415fce2cc1f0dad3e085978e4bc0d83","Cireneu Araujo","cireneuguilhermeteixeira","Mon Jul 21 14:23:34 2025 -0300","adjusting benchmark"
"main","52eafb477e1316d04f05a0b68695e2e52105b9b7","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jul 19 13:13:05 2025 -0300","Fixing place of files"
"main","2d9e7e8eac10069db6eccc13bbc346ab4c90febe","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jul 18 16:38:30 2025 -0300","removing anytipe and updating tests"
"main","f2af6868cc0e7cbc05afa792dadcfbd4a7575ec7","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jul 18 16:26:44 2025 -0300","adding animation"
"main","a93f41fe2ac3363a939eb23fffe1718ac29d176c","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jul 18 16:11:56 2025 -0300","adding animation in a separated part"
"main","b7c2fa734cb65a447529f3cca9787fc7f112f43a","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jul 18 16:00:55 2025 -0300","Adding animation"
"main","85f798caec51d2c0ae93ed9a9574c3ae0262c166","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jul 18 15:21:06 2025 -0300","adding path and other small improvments"
"main","5fb9094e00eee84d4c619b48d2475d8fc5b05ac5","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jul 18 15:18:24 2025 -0300","adding path and improving code"
"main","9f0f371f1111926430a1329e0a05c0900d86824a","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jul 18 09:19:15 2025 -0300","Adding path o lowest cost"
"main","f9f520fd21376518bfcb56af8add91a4a5ab3efa","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jul 16 12:09:10 2025 -0300","updating readme"
"main","c80d85f90777c9a6ae21f4d16238dbaf59028635","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jul 16 11:56:05 2025 -0300","creating benchmark with more usecases"
"main","e79deda171494f3545685ecb098b277c8c993c80","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jul 16 11:42:27 2025 -0300","creating benchmark"
"main","43409381c65867c61bdd8dcb2c84de514d4cbcbb","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jul 16 10:08:59 2025 -0300","Adding more versions of code here"
"main","7fdc4e7c37320d8f1b2fb04b2f4025a4d8c81e22","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jul 6 18:59:59 2025 -0300","adding readme"
"main","ec6be14b4d75c51f0fc25f2c261b1c9919a9e96d","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jul 6 18:54:21 2025 -0300","adding feth users script"
"main","74041652c7851d8396c568bac149b9320baf4aa4","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jul 6 18:27:34 2025 -0300","Creating view to aggregate user photos and tagged users in this photo"
"main","07071c45a9b5c6cc822ee657ff7398a5aa6e70de","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jul 6 18:25:51 2025 -0300","creating docker-compose"
"main","518fa0f50c73f1ccf30b4bb8132dd75fe5efcb46","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jul 6 18:24:24 2025 -0300","creating seeds fake users"
"main","8cf39dd0ad00d44caf4e737ff3a213c335cf2d32","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jul 6 18:18:21 2025 -0300","Adding many to many relationship"
"main","dbfe9009b09f7b26c0cafcbbdd039a6c2a5acd7b","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jul 6 18:16:42 2025 -0300","Adding init sql database tables"
"main","6881efc7ce4bd706c7b27837bc7f99f8afc1d8fd","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jul 6 18:15:08 2025 -0300","moving to other folder"
"main","1a351a5995f505c7960b051d0cdd43cc32df75b9","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jul 6 18:14:21 2025 -0300","Creating initial commit with dockerfile"
"main","a9a6dc02d50d7d7507cfb507257fe3a1c54d0361","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jun 13 12:58:29 2025 -0300","fixing code, adding fixed  array size"
"main","800368e3af941e8bc5c45d610837ddbf270d5b6f","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jun 13 12:57:17 2025 -0300","fixing code, adding fixed  array size"
"main","e597ff7ab66bfb4360c75f255eb3f2b76c1c5fe8","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jun 13 12:15:15 2025 -0300","initial zig dungeon code"
"main","ded135233919049094cd0b3d6d304968bbe7c9f5","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jun 13 12:08:16 2025 -0300","Merge branch 'main' of https://github.com/cireneuguilhermeteixeira/playground into swagger"
"main","99454b35c480e5f31f48e7add10e9d4858b2c785","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jun 13 12:07:54 2025 -0300","Zig hello world"
"main","0cf922f9135b640b2f981a1e4c5050c3b7334c7a","Cireneu Araujo","cireneuguilhermeteixeira","Fri Apr 11 11:21:10 2025 -0300","user schema and integration with swagger"
"main","cae538f15638d40660d660500cbeb08fb364f7d7","Cireneu Araujo","cireneuguilhermeteixeira","Fri Apr 4 12:54:33 2025 -0300","Adding logic to auth with session cookies"
"main","8bb424dc47bd23d0d7d27d41a12fe0e9b0b11bbc","Cireneu Araujo","cireneuguilhermeteixeira","Fri Apr 4 12:35:56 2025 -0300","addding jwt key"
"main","8740c199258170d0a3e9242198dca7c5af5ae741","Cireneu Araujo","cireneuguilhermeteixeira","Fri Apr 4 12:30:29 2025 -0300","creating jwt auth"
"main","f62f4a1ed13e3bb61a51bfe906e24cb4b709a19b","Cireneu Araujo","cireneuguilhermeteixeira","Wed Mar 26 11:15:24 2025 -0300","creating endpoints to users"
"main","05bc436680a99353d742d74d40072715cd4142c0","Cireneu Araujo","cireneuguilhermeteixeira","Wed Mar 26 10:16:33 2025 -0300","creating endpoints to users"
"main","e99f6873dd2e0c120f9957f4919f4d3b6557aa8b","Cireneu Araujo","cireneuguilhermeteixeira","Wed Mar 26 10:11:12 2025 -0300","initial  fastify structure"
"swagger","ded135233919049094cd0b3d6d304968bbe7c9f5","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jun 13 12:08:16 2025 -0300","Merge branch 'main' of https://github.com/cireneuguilhermeteixeira/playground into swagger"
"swagger","99454b35c480e5f31f48e7add10e9d4858b2c785","Cireneu Araujo","cireneuguilhermeteixeira","Fri Jun 13 12:07:54 2025 -0300","Zig hello world"
"swagger","0cf922f9135b640b2f981a1e4c5050c3b7334c7a","Cireneu Araujo","cireneuguilhermeteixeira","Fri Apr 11 11:21:10 2025 -0300","user schema and integration with swagger"
"swagger","cae538f15638d40660d660500cbeb08fb364f7d7","Cireneu Araujo","cireneuguilhermeteixeira","Fri Apr 4 12:54:33 2025 -0300","Adding logic to auth with session cookies"
"swagger","8bb424dc47bd23d0d7d27d41a12fe0e9b0b11bbc","Cireneu Araujo","cireneuguilhermeteixeira","Fri Apr 4 12:35:56 2025 -0300","addding jwt key"
"swagger","8740c199258170d0a3e9242198dca7c5af5ae741","Cireneu Araujo","cireneuguilhermeteixeira","Fri Apr 4 12:30:29 2025 -0300","creating jwt auth"
"swagger","f62f4a1ed13e3bb61a51bfe906e24cb4b709a19b","Cireneu Araujo","cireneuguilhermeteixeira","Wed Mar 26 11:15:24 2025 -0300","creating endpoints to users"
"swagger","05bc436680a99353d742d74d40072715cd4142c0","Cireneu Araujo","cireneuguilhermeteixeira","Wed Mar 26 10:16:33 2025 -0300","creating endpoints to users"
"swagger","e99f6873dd2e0c120f9957f4919f4d3b6557aa8b","Cireneu Araujo","cireneuguilhermeteixeira","Wed Mar 26 10:11:12 2025 -0300","initial  fastify structure"
