branch,commit_hash,author,email,date,message
"main","3f296ed4aa6c4c3cf9a952c49f741f25578a356c","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 22:47:37 2025 -0300","updating readme"
"main","acaff8d09573d27ae3717997d5f293de3921a99a","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 22:45:02 2025 -0300","Fixing my udp sender"
"main","5be674cad229c2b1cfb28e3c0f5a98b1830c3d6d","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 22:36:39 2025 -0300","Adding readme"
"main","2afd79dac9584f6e7e1743c8ec6148318ca572fb","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 22:12:01 2025 -0300","Fixing rotation, removing unused imports and formating the information"
"main","3a44a263d1c455974483a96aad737b161c4a446f","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 20:37:29 2025 -0300","adpating the udp client to sent valid values"
"main","73571b206df3a0e612076d26a135a402e18b0a90","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 20:37:15 2025 -0300","formating websocket speed to int"
"main","844b664fc041218d41a4190c476732c821f19177","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 20:25:46 2025 -0300","Addapting the server to accept connection to any client the websocket information for all clients"
"main","9657628cbfda28fa451c0d78d6cfdbf5f49f1917","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 20:22:33 2025 -0300","Creating context to receive this information from client"
"main","f785012ef27f15e67625429d750723a34fc0ced5","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 20:21:53 2025 -0300","Creating websocket client service"
"main","fc2831c07cb826f8a21c4c9aafaefb8005d6506d","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 20:15:30 2025 -0300","Creating websocket client"
"main","8cdb4d8c4425750cb4812321b2b62c710d4a5918","Cireneu Araujo","cireneuguilhermeteixeira","Wed Jun 25 20:00:38 2025 -0300","componentizing the civic pannel"
"main","dcb729306adab8f4f281418c02ad65a8aa58e6de","Cireneu Araujo","cireneuguilhermeteixeira","Thu Jun 19 19:04:04 2025 -0300","separating pannel from components"
"main","b0ab20396ecc2d755f8eec795c51ca3f8042e83b","Cireneu Araujo","cireneuguilhermeteixeira","Thu Jun 19 18:40:13 2025 -0300","Adding websokcet to send info to connected client"
"main","38bcde86d03e9397020f786f84c03a7284a575a9","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jun 15 16:18:39 2025 -0300","Finishing civic g10 layout"
"main","31ad845fd314dfa61b4e29f10d828b519dbb3f59","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jun 15 15:23:19 2025 -0300","Adjusting color e pointer mask position"
"main","7a9406528227e7282722f2aca0fc5bf6c17b1a27","Cireneu Araujo","cireneuguilhermeteixeira","Sun Jun 15 15:12:39 2025 -0300","making global variables, adding more colors in rpm add ticks from arc blue ring"
"main","f381cccba084d00b510bb2989ac60879652eaf60","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 14 19:13:51 2025 -0300","Adjusting pointer"
"main","97516cb7ef3b3a2104b08262b7120311e9f3ead8","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 14 19:02:10 2025 -0300","visual styles in pannel"
"main","3bc745f607939f41706aa6cec3e5401f5e638eb3","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 14 18:37:36 2025 -0300","Adjusting logic to show rpm and speed properly in pannel"
"main","6d80ddadaf6ede44445a0f4d7b7d7832f2253eca","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 14 17:02:35 2025 -0300","Initial Pannel componentization"
"main","9905c2b96c771b77e139b4bfb11e91c2ab483df2","Cireneu Araujo","cireneuguilhermeteixeira","Sat Jun 14 16:25:33 2025 -0300","svg  and reanimated libs and adding initial functionallities"
